Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2008,74.0
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2009,39.22
Brazil,BRA,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2009,37.9472
Brazil,BRA,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2009,40.5929
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2009,80.3
Canada,CAN,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2009,79.7
Canada,CAN,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2009,81.0
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2009,28.9
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,2009,79.0
Germany,DEU,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2009,75.3473
Germany,DEU,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2009,83.1913
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,2009,5.12
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2009,78.0
Japan,JPN,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2009,74.8215
Japan,JPN,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2009,81.2472
Nigeria,NGA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2009,9.300000191
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,2009,10.0
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,2009,83.56
United Kingdom,GBR,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2009,81.1654
United Kingdom,GBR,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2009,84.4705
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2009,71.0
United States,USA,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2009,68.8284
United States,USA,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2009,67.9408
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2010,40.65
Brazil,BRA,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2010,40.2503
Brazil,BRA,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2010,41.0911
Brazil,BRA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,2010,28.543856163662674
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2010,80.3
Canada,CAN,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2010,79.1717
Canada,CAN,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2010,81.4717
Canada,CAN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,2010,1282.6596983076645
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,2010,34.3
China,CHN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,2010,1.1990685539786423
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,2010,82.0
